,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term
28,AAFuoQg8VqL0bhyQcXazSyiD,정경대학,인문·사회,1,정원내신입학,졸업,경제학과,계량경제학전공,AAHWm3KrWZ5oxJSX8Qdd4FfT,KOR,석·박사통합과정,2019,1R,19811109,2020,1R,4.44,6
65,AAESWBSt0iT844A5hptIbsRT,생명과학대학,자연과학,2,학연산협동과정,졸업,생명공학과,의약나노바이오시스템전공,AAEO7eR3iF66glPgIUiw8Cp7,KOR,석·박사통합과정,2019,2R,19900325,2020,1R,4.42,6
103,AAGbN0WO9yHl9Bk6GcgNB+fN,이과대학,자연과학,1,정원내신입학,졸업,화학과,무기화학전공,AAEIBOJNWOLrJFF534LqW3Il,KOR,석·박사통합과정,2018,1R,19910201,2020,1R,4.36,6
122,AAHAsJVv6TMImBEIos+p9QQl,공과대학,공학,2,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,KOR,석·박사통합과정,2018,1R,19910210,2020,1R,4.19,6
154,AAG7ZKcblk0SWOi/ZRccZCTW,생명과학대학,자연과학,2,정원내신입학,졸업,생명공학과,분자생체공학전공,AAGHKhtTRVM2izkG1lKId0XM,KOR,석·박사통합과정,2019,1R,19930904,2020,1R,4.33,6
262,AAF46cQgBR3CIhu/r0U0yD2r,정보대학,공학,1,정원내신입학,졸업,컴퓨터·전파통신공학과,컴퓨터학전공,AAHW/nJYEE7Q/Lg+jCWZCS2V,KOR,석·박사통합과정,2019,1R,19930413,2020,1R,4.32,6
336,AAEiAunrnqSCyl67BuCtViIO,의과대학,자연과학,2,정원내신입학,졸업,의과학과,의생명과학전공,AAGBU0/Z6RmwgLjNpm+x0e0R,KOR,석·박사통합과정,2020,1R,19910409,2020,1R,4.31,8
338,AAFt2Ih4hbas8HWBH70ZK/Kx,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,KOR,석·박사통합과정,2019,2R,19910930,2020,1R,4.17,7
346,AAEtXDclBtE4/D+7Bhaaar7p,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,KOR,석·박사통합과정,2019,1R,19910810,2020,1R,4.44,6
362,AAGWyGcFhDoNF1AhCrWmbNfJ,보건과학대학,자연과학,1,정원내신입학,졸업,보건과학과,재활과학전공,AAExmaXh+bM09DJG7eJRPwz+,KOR,석·박사통합과정,2018,1R,19890802,2020,1R,4.16,6
